Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
140015,BLESSING HOSPITAL,BROADWAY ST & N 11TH ST,QUINCY,IL,62305,ADAMS,2172231200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"BROADWAY ST &amp; N 11TH ST QUINCY, IL 62305"
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7735422000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"15TH STREET AT CALIFORNIA CHICAGO, IL 60608"
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ST ANTHONY'S WAY ALTON, IL 62002"
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,COOK,7085972000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"12935 S GREGORY BLUE ISLAND, IL 60406"
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,IL,60461,COOK,7087474000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"20201 S CRAWFORD AVENUE OLYMPIA FIELDS, IL 60461"
140187,HSHS ST ELIZABETH'S HOSPITAL,ONE ST ELIZABETH BOULEVARD,O FALLON,IL,62269,ST. CLAIR,6182342120,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ONE ST ELIZABETH BOULEVARD O FALLON, IL 62269"
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,SALINE,6182537671,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,"100 DOCTOR WARREN TUTTLE DR HARRISBURG, IL 62946"
141328,HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,6182856634,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,"FERRELL ROAD ROSICLARE, IL 62982"
141346,FAYETTE COUNTY HOSPITAL,7TH AND TAYLOR,VANDALIA,IL,62471,FAYETTE,6182831231,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,This hospital's star rating only includes data reported on inpatient services.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"7TH AND TAYLOR VANDALIA, IL 62471"
141349,SPARTA COMMUNITY HOSPITAL,818 E BROADWAY,SPARTA,IL,62286,RANDOLPH,6184432177,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,"818 E BROADWAY SPARTA, IL 62286"
143301,LARABIDA CHILDRENS HOSPITAL I,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,COOK,7733636700,Childrens,Voluntary non-profit - Private,FALSE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"E 65TH ST AT LAKE MICHIGAN CHICAGO, IL 60649"
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1373 EAST SR 62 MADISON, IN 47250"
160089,OTTUMWA REGIONAL HEALTH CENTER,1001 E PENNSYLVANIA,OTTUMWA,IA,52501,WAPELLO,6416827511,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,"1001 E PENNSYLVANIA OTTUMWA, IA 52501"
161377,MERCY MEDICAL CENTER-CENTERVILLE,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,APPANOOSE,6414374111,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"ONE ST JOSEPH'S DRIVE CENTERVILLE, IA 52544"
170166,MORTON COUNTY HOSPITAL,445 N HILLTOP,ELKHART,KS,67950,MORTON,6206972141,Acute Care Hospitals,Government - Local,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"445 N HILLTOP ELKHART, KS 67950"
171303,LANE COUNTY HOSPITAL,235 WEST VINE  PO BOX 969,DIGHTON,KS,67839,LANE,6203975321,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"235 WEST VINE PO BOX 969 DIGHTON, KS 67839"
171304,ASHLAND HEALTH CENTER,625 SOUTH KENTUCKY,ASHLAND,KS,67831,CLARK,6206352241,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"625 SOUTH KENTUCKY ASHLAND, KS 67831"
